Model,Fold,AUC,Precision,Recall,F-Score,Test_Accuracy,Train_Accuracy,Training_time,Testing_time
RandomForest,1,0.8243585603369463,0.6971214017521903,0.6409666283084005,0.6678657074340527,0.7403936269915652,0.9993228108558629,5.392,0.436
LinearSVC,2,0.6365037274228248,0.6220472440944882,0.2727272727272727,0.37920000000000004,0.6363636363636364,0.6348908683648486,2.064,0.003
LogisticRegression,3,0.6363654557280414,0.6130653266331658,0.2807825086306099,0.38516179952644036,0.6349578256794751,0.6383289055581601,0.98,0.003
XGBoost,4,0.818096308054781,0.5197201017811705,0.9401611047180668,0.6693977877918885,0.6218369259606373,0.6508829504610095,0.413,0.003
MLP,5,0.7316064532855447,0.7909090909090909,0.2002301495972382,0.3195592286501377,0.6527647610121837,0.7477209980726155,18.757,0.017
BaggedDT,6,0.8226215221712295,0.6937269372693727,0.6490218642117376,0.6706302021403092,0.7403936269915652,0.9993228108558629,60.67,1.133
NaiveBayes,7,0.5013445102953283,0.2,0.005753739930955121,0.011185682326621923,0.5857544517338332,0.5904568422149294,0.018,0.004
KNN,8,0.7433149729142124,0.6376262626262627,0.5811277330264673,0.6080674292594822,0.6949390815370197,0.9993228108558629,1.972,0.223
RandomForest,9,0.8330850970852574,0.710161662817552,0.7077100115074798,0.7089337175792507,0.763244256915143,0.9992186686113137,5.644,0.918
LinearSVC,10,0.6390957524289522,0.6151685393258427,0.2520138089758343,0.35755102040816333,0.6310360993905297,0.6367329930201062,1.933,0.003
LogisticRegression,11,0.6393024136574851,0.625974025974026,0.2773302646720368,0.3843700159489633,0.6380684481950305,0.6390769871861652,0.689,0.002
XGBoost,12,0.8230078585890955,0.5171339563862928,0.9551208285385501,0.6709781729991915,0.6183778715424285,0.6485050526096469,0.356,0.003
MLP,13,0.7837795516452782,0.6121449559255632,0.7192174913693901,0.6613756613756614,0.6999531176746366,0.7414313991040733,18.279,0.015
BaggedDT,14,0.837226970473846,0.693012600229095,0.6962025316455697,0.6946039035591275,0.7505860290670417,0.9992186686113137,60.218,1.097
NaiveBayes,15,0.48607039591557305,0.4444444444444444,0.009205983889528193,0.018038331454340473,0.5916549460853259,0.5903739972913845,0.017,0.004
KNN,16,0.7418801255626284,0.6175349428208387,0.5592635212888377,0.5869565217391305,0.679324894514768,0.9992186686113137,1.846,0.206
RandomForest,17,0.8315219370438887,0.7195121951219512,0.6789413118527042,0.6986382474837181,0.7613689639006095,0.9992707573705595,5.532,0.441
LinearSVC,18,0.6324325210120756,0.6275071633237822,0.2520138089758343,0.3596059113300493,0.6343178621659634,0.6355349515574539,1.867,0.002
LogisticRegression,19,0.6298060115657456,0.6145251396648045,0.25316455696202533,0.35859820700896494,0.6310360993905297,0.6395457860193771,0.709,0.003
XGBoost,20,0.837269304161629,0.5304682488774856,0.9516685845799769,0.6812191103789127,0.6371308016877637,0.6454839045733931,0.359,0.003
MLP,21,0.8085889134899711,0.643298969072165,0.7180667433831991,0.6786296900489397,0.7229254571026723,0.745963121158454,18.51,0.016
BaggedDT,22,0.8360156807621157,0.7144563918757467,0.6881472957422324,0.7010550996483002,0.7609001406469761,0.9992707573705595,60.309,1.107
NaiveBayes,23,0.4958745138453919,0.6428571428571429,0.010356731875719217,0.020385050962627407,0.5944678856071262,0.5902698197728931,0.016,0.003
KNN,24,0.7551109961981617,0.646505376344086,0.5535097813578826,0.5964042157470552,0.6947960618846695,0.9992707573705595,1.933,0.217
RandomForest,25,0.8307740418930534,0.7114673242909988,0.663981588032221,0.6869047619047619,0.753398968588842,0.9993749348890509,5.425,0.558
LinearSVC,26,0.6473521871494952,0.6256983240223464,0.25776754890678943,0.36511817440912797,0.6347866854195968,0.6359516616314199,1.851,0.003
LogisticRegression,27,0.6483627332449636,0.6388888888888888,0.2646720368239356,0.3742880390561432,0.6394749179559306,0.639129075945411,0.737,0.003
XGBoost,28,0.8348012046437778,0.5265791119449656,0.9689298043728424,0.6823338735818477,0.6324425691514299,0.6417856026669445,0.37,0.004
MLP,29,0.7481682714017276,0.7326732673267327,0.17031070195627157,0.27637721755368816,0.6366619784341303,0.7437753932701323,18.613,0.016
BaggedDT,30,0.8379498295727665,0.7224287484510533,0.6708860759493671,0.6957040572792362,0.7609001406469761,0.9993749348890509,60.288,1.132
NaiveBayes,31,0.48757255903045843,0.4,0.01380897583429229,0.026696329254727473,0.5897796530707923,0.5903739972913845,0.017,0.003
KNN,32,0.752134892426913,0.6268260292164675,0.5431530494821634,0.5819975339087546,0.6821378340365682,0.9993749348890509,1.812,0.198
RandomForest,33,0.8395912841764869,0.7055288461538461,0.6754890678941312,0.6901822457378013,0.7529301453352086,0.9992707573705595,5.505,0.441
LinearSVC,34,0.6402091739377431,0.6278409090909091,0.25431530494821636,0.361998361998362,0.6347866854195968,0.6345973538910303,1.885,0.003
LogisticRegression,35,0.6403766878851,0.6260387811634349,0.2600690448791715,0.367479674796748,0.6352555086732302,0.6368892592978436,0.331,0.003
XGBoost,36,0.8345189800585571,0.52125,0.9597238204833142,0.6755771567436208,0.6244725738396625,0.6450671944994271,0.364,0.002
MLP,37,0.7450774569926149,0.7873134328358209,0.2428078250863061,0.3711521547933157,0.6647913736521331,0.7438274820293781,18.851,0.017
BaggedDT,38,0.8354448587784591,0.7083333333333334,0.6846950517836594,0.6963136337039205,0.7566807313642757,0.9992707573705595,60.703,1.132
NaiveBayes,39,0.49529640864663294,0.375,0.010356731875719217,0.020156774916013438,0.5897796530707923,0.5903739972913845,0.017,0.003
KNN,40,0.7532574179545819,0.635752688172043,0.5443037974683544,0.5864848109113453,0.6872948898265354,0.9992707573705595,1.893,0.21
RandomForest,41,0.8281120267730987,0.7100893997445722,0.6398158803222095,0.6731234866828087,0.7468354430379747,0.9994270236482967,5.317,0.557
LinearSVC,42,0.6376327365952427,0.623229461756374,0.25316455696202533,0.36006546644844517,0.6333802156586966,0.6353265965204709,1.944,0.003
LogisticRegression,43,0.6360049380198395,0.6263736263736264,0.26237054085155354,0.36982968369829683,0.6357243319268636,0.6386602771121992,0.326,0.011
XGBoost,44,0.8381883548673725,0.5238095238095238,0.9620253164556962,0.6782961460446247,0.6282231598687295,0.6456401708511303,0.357,0.003
MLP,45,0.7823265502323347,0.8125,0.2243958573072497,0.35166816952209196,0.6629160806375997,0.7402854464006667,18.876,0.017
BaggedDT,46,0.8323212699013852,0.7112232030264817,0.6490218642117376,0.6787003610108302,0.749648382559775,0.9994270236482967,60.882,1.152
NaiveBayes,47,0.4957315807490058,0.35,0.00805523590333717,0.015748031496062992,0.5897796530707923,0.5904781748098761,0.018,0.004
KNN,48,0.760425012017305,0.645326504481434,0.5799769850402762,0.610909090909091,0.69901547116737,0.9994270236482967,1.822,0.2
RandomForest,49,0.8217961136764212,0.6953955135773318,0.6777905638665133,0.6864801864801864,0.7477730895452415,0.9993228461298052,5.401,0.439
LinearSVC,50,0.6216128497764053,0.6083333333333333,0.2520138089758343,0.35638730675345814,0.6291608063759963,0.6355870403166997,1.961,0.002
LogisticRegression,51,0.6219041783805043,0.6055979643765903,0.27387802071346373,0.37717908082408874,0.6315049226441631,0.6383477445567246,0.315,0.002
XGBoost,52,0.81701741416731,0.5235109717868338,0.9608745684695051,0.6777597402597403,0.627754336615096,0.6445463069069695,0.36,0.003
MLP,53,0.7626004173282253,0.75,0.26237054085155354,0.38874680306905374,0.6638537271448663,0.7495051567871653,19.071,0.017
BaggedDT,54,0.8200262924065198,0.6923990498812351,0.6708860759493671,0.6814728229105786,0.7444913267698078,0.9993228461298052,60.544,1.179
NaiveBayes,55,0.49296077260345805,0.5333333333333333,0.009205983889528193,0.018099547511312215,0.593061415846226,0.5908427961245963,0.018,0.004
KNN,56,0.7369985506401946,0.6286472148541115,0.5454545454545454,0.5841035120147875,0.6835443037974683,0.9993228461298052,1.768,0.2
RandomForest,57,0.8321929032352041,0.7230392156862745,0.6789413118527042,0.7002967359050445,0.763244256915143,0.9994270236482967,5.504,0.446
LinearSVC,58,0.6400912768932717,0.6167146974063401,0.24626006904487918,0.3519736842105263,0.6305672761368963,0.6353265965204709,1.911,0.002
LogisticRegression,59,0.6390470459279544,0.6222826086956522,0.26352128883774456,0.37025060630557804,0.6347866854195968,0.6383998333159704,0.318,0.002
XGBoost,60,0.823011044995703,0.5208722741433022,0.9620253164556962,0.6758286176232821,0.6240037505860291,0.6453797270549015,0.357,0.002
MLP,61,0.7352892710958326,0.7547169811320755,0.23014959723820483,0.3527336860670194,0.6558837318330989,0.7439837483071153,19.059,0.017
BaggedDT,62,0.8370767541623575,0.7244772447724477,0.6777905638665133,0.7003567181926279,0.7637130801687764,0.9994270236482967,60.642,1.168
NaiveBayes,63,0.5033653005782872,0.7,0.00805523590333717,0.015927189988623438,0.5944678856071262,0.5925617251797062,0.017,0.004
KNN,64,0.7466183121877321,0.656578947368421,0.5742232451093211,0.612645794966237,0.7041725269573371,0.9994270236482967,1.911,0.213
RandomForest,65,0.8116919546092056,0.6910669975186104,0.6417050691244239,0.6654719235364396,0.7374589779653071,0.9993228461298052,5.611,0.444
LinearSVC,66,0.6454099196735943,0.6572237960339944,0.2672811059907834,0.38001638001638005,0.6451007969995312,0.6332430461506406,1.862,0.003
LogisticRegression,67,0.6419901276843774,0.6533333333333333,0.28225806451612906,0.3942075623491553,0.6469760900140648,0.6361600166684029,0.327,0.002
XGBoost,68,0.8216726471284677,0.525079365079365,0.9527649769585254,0.6770364306180926,0.630098452883263,0.6447025731847067,0.361,0.003
MLP,69,0.7807407879637893,0.776566757493188,0.3283410138248848,0.4615384615384615,0.6882325363338021,0.7447129909365559,19.171,0.016
BaggedDT,70,0.816120835686053,0.6837606837606838,0.6451612903225806,0.6639004149377593,0.7341772151898734,0.9993228461298052,60.769,1.178
NaiveBayes,71,0.48904937979271784,0.30434782608695654,0.008064516129032258,0.015712682379349044,0.5888420065635256,0.589853109698927,0.018,0.004
KNN,72,0.7479918398571975,0.6355013550135501,0.5403225806451613,0.5840597758405978,0.686826066572902,0.9993228461298052,1.924,0.215
RandomForest,73,0.8304962568987815,0.7066167290886392,0.652073732718894,0.6782504493708807,0.7482419127988749,0.9994791124075425,5.647,0.794
LinearSVC,74,0.6571738219704559,0.6434782608695652,0.2557603686635945,0.3660346248969497,0.6394749179559306,0.6353786852797166,1.884,0.003
