Model,Fold,AUC,Precision,Recall,F-Score,Test_Accuracy,Train_Accuracy,Training_time,Testing_time
RandomForest,1,0.826584553,0.696449026,0.699654776,0.69804822,0.753514527,0.999947909,6.091,0.554
LinearSVC,2,0.652049287,0.648199446,0.269275029,0.380487805,0.642924086,0.634213679,2.112,0.003
LogisticRegression,3,0.650542853,0.642487047,0.285385501,0.395219124,0.644329897,0.638016357,1.133,0.002
XGBoost,4,0.840416271,0.728395062,0.678941312,0.702799285,0.766166823,0.873105173,0.68,0.007
MLP,5,0.775105637,0.780952381,0.283084005,0.415540541,0.675726336,0.744335052,19.143,0.017
BaggedDT,6,0.832652133,0.70011274,0.714614499,0.707289294,0.759137769,0.999947909,65.191,1.25
NaiveBayes,7,0.633393979,0.387096774,0.013808976,0.026666667,0.58950328,0.589362921,0.019,0.003
KNN,8,0.769526101,0.640586797,0.602991945,0.621221103,0.700562324,0.999947909,1.979,0.225
RandomForest,9,0.836131302,0.733840304,0.666283084,0.698431846,0.765588373,0.999895822,5.888,0.445
LinearSVC,10,0.624816099,0.621983914,0.266973533,0.373590982,0.635255509,0.635118241,2.07,0.002
LogisticRegression,11,0.628366666,0.632545932,0.277330265,0.3856,0.639943741,0.638191478,0.925,0.002
XGBoost,12,0.838009461,0.712177122,0.666283084,0.688466112,0.754336615,0.872695072,0.594,0.006
MLP,13,0.742075862,0.767068273,0.219792865,0.341681574,0.654946085,0.750599021,19.685,0.019
BaggedDT,14,0.83811006,0.716911765,0.673187572,0.694362018,0.758556024,0.999895822,65.961,1.123
NaiveBayes,15,0.636000841,0.368421053,0.016110472,0.030871003,0.58790436,0.589384311,0.017,0.003
KNN,16,0.777547851,0.652552927,0.602991945,0.626794258,0.70745429,0.999895822,1.948,0.217
RandomForest,17,0.831975317,0.720720721,0.644418872,0.680437424,0.753398969,0.999895822,6.35,0.444
LinearSVC,18,0.619147937,0.614492754,0.243958573,0.349258649,0.62962963,0.636264194,2.232,0.003
LogisticRegression,19,0.617550181,0.610644258,0.250863061,0.355628059,0.62962963,0.639285342,0.762,0.003
XGBoost,20,0.828775255,0.709090909,0.6283084,0.666259915,0.74355368,0.871757475,0.795,0.007
MLP,21,0.745513539,0.767790262,0.235903337,0.360915493,0.659634318,0.744869257,19.751,0.017
BaggedDT,22,0.832727309,0.712883436,0.66858458,0.690023753,0.755274262,0.999895822,65.262,1.124
NaiveBayes,23,0.638936432,0.2,0.006904488,0.013348165,0.584153774,0.5894364,0.014,0.003
